0.0, B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,
 32.80, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 33.30, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 33.70, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 34.05, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 34.85, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 35.10, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 35.20, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 35.55, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 36.30, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 36.55, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 52, 67, 54, 64, 81, 
 36.75, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 78, 67, 54, 64, 81, 
 37.05, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 78, 67, 54, 64, 81, 
 37.30, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 78, 67, 54, 64, 80, 
 37.60, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 78, 67, 54, 64, 80, 
 37.70, 138, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 78, 67, 54, 64, 80, 
 37.90, 75, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 53, 78, 67, 54, 64, 80, 
 38.50, 75, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 75, 78, 67, 54, 64, 80, 
 38.75, 75, 76, 96, 93, 76, 112, 138, 74, 70, 71, 62, 71, 67, 66, 75, 78, 67, 54, 64, 80, 
 39.20, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 66, 75, 78, 67, 54, 64, 80, 
